Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Aragón;Percentil 10;2013;7.735,35
Ambos sexos;Aragón;Percentil 10;2012;8.216,38
Ambos sexos;Aragón;Percentil 10;2011;8.863,66
Ambos sexos;Aragón;Percentil 10;2010;8.683,56
Ambos sexos;Aragón;Percentil 10;2009;8.641,36
Ambos sexos;Aragón;Percentil 10;2008;9.051,37
Ambos sexos;Aragón;Cuartil inferior;2022;16.970,82
Ambos sexos;Aragón;Cuartil inferior;2021;16.054,72
Ambos sexos;Aragón;Cuartil inferior;2020;15.580,27
Ambos sexos;Aragón;Cuartil inferior;2019;14.826,55
Ambos sexos;Aragón;Cuartil inferior;2018;14.672,57
Ambos sexos;Aragón;Cuartil inferior;2017;14.438,76
Ambos sexos;Aragón;Cuartil inferior;2016;13.664,48
Ambos sexos;Aragón;Cuartil inferior;2015;13.424,35
Ambos sexos;Aragón;Cuartil inferior;2014;13.853,64
Ambos sexos;Aragón;Cuartil inferior;2013;13.415,54
Ambos sexos;Aragón;Cuartil inferior;2012;13.688,48
Ambos sexos;Aragón;Cuartil inferior;2011;14.044,52
Ambos sexos;Aragón;Cuartil inferior;2010;14.176,97
Ambos sexos;Aragón;Cuartil inferior;2009;14.051,02
Ambos sexos;Aragón;Cuartil inferior;2008;13.875,48
Ambos sexos;Aragón;Mediana;2022;22.734,18
Ambos sexos;Aragón;Mediana;2021;22.220,28
Ambos sexos;Aragón;Mediana;2020;21.207,6
Ambos sexos;Aragón;Mediana;2019;20.604,72
Ambos sexos;Aragón;Mediana;2018;20.859,78
Ambos sexos;Aragón;Mediana;2017;20.198,39
Ambos sexos;Aragón;Mediana;2016;19.417,81
Ambos sexos;Aragón;Mediana;2015;19.589,29
Ambos sexos;Aragón;Mediana;2014;19.539,86
Ambos sexos;Aragón;Mediana;2013;19.094,86
Ambos sexos;Aragón;Mediana;2012;19.094,81
Ambos sexos;Aragón;Mediana;2011;19.646,75
Ambos sexos;Aragón;Mediana;2010;19.552,41
Ambos sexos;Aragón;Mediana;2009;19.413,22
Ambos sexos;Aragón;Mediana;2008;19.084,91
Ambos sexos;Aragón;Cuartil superior;2022;32.303,15
Ambos sexos;Aragón;Cuartil superior;2021;30.845,88
Ambos sexos;Aragón;Cuartil superior;2020;29.570,53
Ambos sexos;Aragón;Cuartil superior;2019;29.645,5
Ambos sexos;Aragón;Cuartil superior;2018;29.477,35
Ambos sexos;Aragón;Cuartil superior;2017;28.708,75
Ambos sexos;Aragón;Cuartil superior;2016;27.990,4
Ambos sexos;Aragón;Cuartil superior;2015;28.144,48
Ambos sexos;Aragón;Cuartil superior;2014;27.934,08
Ambos sexos;Aragón;Cuartil superior;2013;27.796,12
Ambos sexos;Aragón;Cuartil superior;2012;27.034,53
Ambos sexos;Aragón;Cuartil superior;2011;27.779,87
Ambos sexos;Aragón;Cuartil superior;2010;27.478,9
Ambos sexos;Aragón;Cuartil superior;2009;27.052,27
Ambos sexos;Aragón;Cuartil superior;2008;26.580,39
Ambos sexos;Aragón;Percentil 90;2022;42.781,78
Ambos sexos;Aragón;Percentil 90;2021;41.280,28
Ambos sexos;Aragón;Percentil 90;2020;40.093,52
Ambos sexos;Aragón;Percentil 90;2019;40.084,06
Ambos sexos;Aragón;Percentil 90;2018;39.844,4
Ambos sexos;Aragón;Percentil 90;2017;39.100,8
Ambos sexos;Aragón;Percentil 90;2016;38.305,12
Ambos sexos;Aragón;Percentil 90;2015;39.085,72
Ambos sexos;Aragón;Percentil 90;2014;37.273,45
Ambos sexos;Aragón;Percentil 90;2013;38.702,21
Ambos sexos;Aragón;Percentil 90;2012;38.756,84
Ambos sexos;Aragón;Percentil 90;2011;38.723,33
Ambos sexos;Aragón;Percentil 90;2010;39.028,27
Ambos sexos;Aragón;Percentil 90;2009;38.392,52
Ambos sexos;Aragón;Percentil 90;2008;36.579,8
Ambos sexos;Asturias, Principado de;Media;2022;26.745,93
Ambos sexos;Asturias, Principado de;Media;2021;25.046,6
Ambos sexos;Asturias, Principado de;Media;2020;24.527,96
Ambos sexos;Asturias, Principado de;Media;2019;24.865,89
Ambos sexos;Asturias, Principado de;Media;2018;23.914,61
Ambos sexos;Asturias, Principado de;Media;2017;23.609,67
Ambos sexos;Asturias, Principado de;Media;2016;23.095,83
Ambos sexos;Asturias, Principado de;Media;2015;22.826,06
Ambos sexos;Asturias, Principado de;Media;2014;22.045,29
Ambos sexos;Asturias, Principado de;Media;2013;21.994,99
Ambos sexos;Asturias, Principado de;Media;2012;21.750,66
Ambos sexos;Asturias, Principado de;Media;2011;22.286,48
Ambos sexos;Asturias, Principado de;Media;2010;22.241,39
Ambos sexos;Asturias, Principado de;Media;2009;22.597,97
Ambos sexos;Asturias, Principado de;Media;2008;21.805,67
Ambos sexos;Asturias, Principado de;Percentil 10;2022;10.609
Ambos sexos;Asturias, Principado de;Percentil 10;2021;9.717,49
Ambos sexos;Asturias, Principado de;Percentil 10;2020;8.830,44
Ambos sexos;Asturias, Principado de;Percentil 10;2019;8.418,88
Ambos sexos;Asturias, Principado de;Percentil 10;2018;7.716,53
Ambos sexos;Asturias, Principado de;Percentil 10;2017;8.504,22
Ambos sexos;Asturias, Principado de;Percentil 10;2016;7.591,08
Ambos sexos;Asturias, Principado de;Percentil 10;2015;7.591,08
Ambos sexos;Asturias, Principado de;Percentil 10;2014;7.226,86
Ambos sexos;Asturias, Principado de;Percentil 10;2013;7.226,9
Ambos sexos;Asturias, Principado de;Percentil 10;2012;7.538,76
Ambos sexos;Asturias, Principado de;Percentil 10;2011;8.429,6
Ambos sexos;Asturias, Principado de;Percentil 10;2010;8.783,94
Ambos sexos;Asturias, Principado de;Percentil 10;2009;8.547,94
Ambos sexos;Asturias, Principado de;Percentil 10;2008;8.634,04
Ambos sexos;Asturias, Principado de;Cuartil inferior;2022;16.017,28
Ambos sexos;Asturias, Principado de;Cuartil inferior;2021;14.682,96
Ambos sexos;Asturias, Principado de;Cuartil inferior;2020;14.325,79
Ambos sexos;Asturias, Principado de;Cuartil inferior;2019;14.330,92
Ambos sexos;Asturias, Principado de;Cuartil inferior;2018;13.866
Ambos sexos;Asturias, Principado de;Cuartil inferior;2017;13.482,98
Ambos sexos;Asturias, Principado de;Cuartil inferior;2016;12.923,35
Ambos sexos;Asturias, Principado de;Cuartil inferior;2015;13.042,22
Ambos sexos;Asturias, Principado de;Cuartil inferior;2014;12.813
Ambos sexos;Asturias, Principado de;Cuartil inferior;2013;12.401,25
Ambos sexos;Asturias, Principado de;Cuartil inferior;2012;12.918,05
Ambos sexos;Asturias, Principado de;Cuartil inferior;2011;13.658,6
Ambos sexos;Asturias, Principado de;Cuartil inferior;2010;13.651,02
Ambos sexos;Asturias, Principado de;Cuartil inferior;2009;13.687,68
Ambos sexos;Asturias, Principado de;Cuartil inferior;2008;13.335,75
Ambos sexos;Asturias, Principado de;Mediana;2022;23.001,52
Ambos sexos;Asturias, Principado de;Mediana;2021;21.975,31
Ambos sexos;Asturias, Principado de;Mediana;2020;21.331,73
Ambos sexos;Asturias, Principado de;Mediana;2019;21.559,07
Ambos sexos;Asturias, Principado de;Mediana;2018;20.890,13
Ambos sexos;Asturias, Principado de;Mediana;2017;20.174,85
Ambos sexos;Asturias, Principado de;Mediana;2016;20.081,25
Ambos sexos;Asturias, Principado de;Mediana;2015;19.959,74
Ambos sexos;Asturias, Principado de;Mediana;2014;19.212,77
Ambos sexos;Asturias, Principado de;Mediana;2013;19.057,38
Ambos sexos;Asturias, Principado de;Mediana;2012;18.784,7
Ambos sexos;Asturias, Principado de;Mediana;2011;19.276,74
Ambos sexos;Asturias, Principado de;Mediana;2010;19.055,8
Ambos sexos;Asturias, Principado de;Mediana;2009;19.202,33
Ambos sexos;Asturias, Principado de;Mediana;2008;18.697,53
Ambos sexos;Asturias, Principado de;Cuartil superior;2022;33.737,22
Ambos sexos;Asturias, Principado de;Cuartil superior;2021;32.393,76
Ambos sexos;Asturias, Principado de;Cuartil superior;2020;32.157,61
Ambos sexos;Asturias, Principado de;Cuartil superior;2019;31.564,56
Ambos sexos;Asturias, Principado de;Cuartil superior;2018;30.567,03
Ambos sexos;Asturias, Principado de;Cuartil superior;2017;30.079,2
Ambos sexos;Asturias, Principado de;Cuartil superior;2016;29.429,86
Ambos sexos;Asturias, Principado de;Cuartil superior;2015;29.058
Ambos sexos;Asturias, Principado de;Cuartil superior;2014;28.363,24
Ambos sexos;Asturias, Principado de;Cuartil superior;2013;28.486,67
Ambos sexos;Asturias, Principado de;Cuartil superior;2012;27.220,1
Ambos sexos;Asturias, Principado de;Cuartil superior;2011;27.940,97
Ambos sexos;Asturias, Principado de;Cuartil superior;2010;28.121,34
Ambos sexos;Asturias, Principado de;Cuartil superior;2009;28.041,4
Ambos sexos;Asturias, Principado de;Cuartil superior;2008;27.084,62
Ambos sexos;Asturias, Principado de;Percentil 90;2022;47.499,44
Ambos sexos;Asturias, Principado de;Percentil 90;2021;44.166,66
Ambos sexos;Asturias, Principado de;Percentil 90;2020;44.010,39
Ambos sexos;Asturias, Principado de;Percentil 90;2019;44.353,81
Ambos sexos;Asturias, Principado de;Percentil 90;2018;43.057,06
Ambos sexos;Asturias, Principado de;Percentil 90;2017;42.452,9
Ambos sexos;Asturias, Principado de;Percentil 90;2016;41.032,42
Ambos sexos;Asturias, Principado de;Percentil 90;2015;41.847,13
Ambos sexos;Asturias, Principado de;Percentil 90;2014;39.870,62
Ambos sexos;Asturias, Principado de;Percentil 90;2013;39.599,5
Ambos sexos;Asturias, Principado de;Percentil 90;2012;38.796,83
Ambos sexos;Asturias, Principado de;Percentil 90;2011;38.802,84
Ambos sexos;Asturias, Principado de;Percentil 90;2010;38.782,2
Ambos sexos;Asturias, Principado de;Percentil 90;2009;39.907,69
Ambos sexos;Asturias, Principado de;Percentil 90;2008;38.359,61
Ambos sexos;Balears, Illes;Media;2022;27.145,79
Ambos sexos;Balears, Illes;Media;2021;24.134,73
Ambos sexos;Balears, Illes;Media;2020;23.881,42
Ambos sexos;Balears, Illes;Media;2019;23.325,33
Ambos sexos;Balears, Illes;Media;2018;22.800,87
Ambos sexos;Balears, Illes;Media;2017;22.036,46
Ambos sexos;Balears, Illes;Media;2016;21.478,34
Ambos sexos;Balears, Illes;Media;2015;21.395,42
Ambos sexos;Balears, Illes;Media;2014;21.322,08
Ambos sexos;Balears, Illes;Media;2013;20.776,29
Ambos sexos;Balears, Illes;Media;2012;20.960,53
Ambos sexos;Balears, Illes;Media;2011;21.351
Ambos sexos;Balears, Illes;Media;2010;21.613,6
Ambos sexos;Balears, Illes;Media;2009;21.070,14
Ambos sexos;Balears, Illes;Media;2008;20.388,09
Ambos sexos;Balears, Illes;Percentil 10;2022;13.389,86
Ambos sexos;Balears, Illes;Percentil 10;2021;11.273,66
Ambos sexos;Balears, Illes;Percentil 10;2020;10.875,23
Ambos sexos;Balears, Illes;Percentil 10;2019;10.941,15
Ambos sexos;Balears, Illes;Percentil 10;2018;9.613,53
Ambos sexos;Balears, Illes;Percentil 10;2017;9.900,99
Ambos sexos;Balears, Illes;Percentil 10;2016;8.594,84
Ambos sexos;Balears, Illes;Percentil 10;2015;8.969,64
Ambos sexos;Balears, Illes;Percentil 10;2014;9.312,05
Ambos sexos;Balears, Illes;Percentil 10;2013;8.278,16
Ambos sexos;Balears, Illes;Percentil 10;2012;8.588,24
Ambos sexos;Balears, Illes;Percentil 10;2011;9.012,96
Ambos sexos;Balears, Illes;Percentil 10;2010;9.219,76
Ambos sexos;Balears, Illes;Percentil 10;2009;9.565,98
Ambos sexos;Balears, Illes;Percentil 10;2008;9.619,14
Ambos sexos;Balears, Illes;Cuartil inferior;2022;17.706,86
Ambos sexos;Balears, Illes;Cuartil inferior;2021;16.248,48
Ambos sexos;Balears, Illes;Cuartil inferior;2020;15.477,05
Ambos sexos;Balears, Illes;Cuartil inferior;2019;15.535,23
Ambos sexos;Balears, Illes;Cuartil inferior;2018;14.786,86
Ambos sexos;Balears, Illes;Cuartil inferior;2017;14.735,55
Ambos sexos;Balears, Illes;Cuartil inferior;2016;13.884,59
Ambos sexos;Balears, Illes;Cuartil inferior;2015;14.201,02
Ambos sexos;Balears, Illes;Cuartil inferior;2014;14.131,02
Ambos sexos;Balears, Illes;Cuartil inferior;2013;13.765,16
Ambos sexos;Balears, Illes;Cuartil inferior;2012;13.954,34
Ambos sexos;Balears, Illes;Cuartil inferior;2011;14.209,9
Ambos sexos;Balears, Illes;Cuartil inferior;2010;14.303,77
Ambos sexos;Balears, Illes;Cuartil inferior;2009;14.008,65
Ambos sexos;Balears, Illes;Cuartil inferior;2008;13.486,1
Ambos sexos;Balears, Illes;Mediana;2022;23.134,21
Ambos sexos;Balears, Illes;Mediana;2021;20.837,19
Ambos sexos;Balears, Illes;Mediana;2020;20.241,15
Ambos sexos;Balears, Illes;Mediana;2019;20.276,91
Ambos sexos;Balears, Illes;Mediana;2018;20.121,18
Ambos sexos;Balears, Illes;Mediana;2017;19.264,02
Ambos sexos;Balears, Illes;Mediana;2016;18.847,22
Ambos sexos;Balears, Illes;Mediana;2015;18.610
Ambos sexos;Balears, Illes;Mediana;2014;18.714,35
Ambos sexos;Balears, Illes;Mediana;2013;18.030,53
Ambos sexos;Balears, Illes;Mediana;2012;18.088,52
Ambos sexos;Balears, Illes;Mediana;2011;18.403,17
Ambos sexos;Balears, Illes;Mediana;2010;18.406,42
Ambos sexos;Balears, Illes;Mediana;2009;17.224,24
Ambos sexos;Balears, Illes;Mediana;2008;16.813,32
Ambos sexos;Balears, Illes;Cuartil superior;2022;31.831,55
Ambos sexos;Balears, Illes;Cuartil superior;2021;28.132,58
Ambos sexos;Balears, Illes;Cuartil superior;2020;28.412,27
Ambos sexos;Balears, Illes;Cuartil superior;2019;27.414,33
Ambos sexos;Balears, Illes;Cuartil superior;2018;27.188,22
Ambos sexos;Balears, Illes;Cuartil superior;2017;25.520
Ambos sexos;Balears, Illes;Cuartil superior;2016;25.243,95
Ambos sexos;Balears, Illes;Cuartil superior;2015;24.966,72
Ambos sexos;Balears, Illes;Cuartil superior;2014;24.936,55
Ambos sexos;Balears, Illes;Cuartil superior;2013;24.592,1
Ambos sexos;Balears, Illes;Cuartil superior;2012;24.976,54
Ambos sexos;Balears, Illes;Cuartil superior;2011;25.427,19
Ambos sexos;Balears, Illes;Cuartil superior;2010;25.579,52
Ambos sexos;Balears, Illes;Cuartil superior;2009;24.095,07
Ambos sexos;Balears, Illes;Cuartil superior;2008;23.334,3
Ambos sexos;Balears, Illes;Percentil 90;2022;44.537,89
Ambos sexos;Balears, Illes;Percentil 90;2021;41.000,11
Ambos sexos;Balears, Illes;Percentil 90;2020;41.125,61
Ambos sexos;Balears, Illes;Percentil 90;2019;39.540,39
Ambos sexos;Balears, Illes;Percentil 90;2018;38.503,92
Ambos sexos;Balears, Illes;Percentil 90;2017;37.668,58
Ambos sexos;Balears, Illes;Percentil 90;2016;37.025,02
Ambos sexos;Balears, Illes;Percentil 90;2015;36.163,2
Ambos sexos;Balears, Illes;Percentil 90;2014;35.283,25
Ambos sexos;Balears, Illes;Percentil 90;2013;34.989,31
Ambos sexos;Balears, Illes;Percentil 90;2012;35.224,61
Ambos sexos;Balears, Illes;Percentil 90;2011;36.358,78
Ambos sexos;Balears, Illes;Percentil 90;2010;36.976,78
Ambos sexos;Balears, Illes;Percentil 90;2009;36.851,1
Ambos sexos;Balears, Illes;Percentil 90;2008;35.047,39
Ambos sexos;Canarias;Media;2022;23.096,92
Ambos sexos;Canarias;Media;2021;22.466,23
Ambos sexos;Canarias;Media;2020;21.631,17
Ambos sexos;Canarias;Media;2019;20.861,14
Ambos sexos;Canarias;Media;2018;20.763,48
